N_Samples,Avg. Jaccard Index (Stability),Top_Features_Sample,Model
500,0.9333333333333333,"{np.str_('comprar'), np.str_('pena'), np.str_('bem'), np.str_('valer'), np.str_('quando')}",LogisticRegression
1000,0.9333333333333333,"{np.str_('comprar'), np.str_('pena'), np.str_('apresentar'), np.str_('valer'), np.str_('quando')}",LogisticRegression
2000,1.0,"{np.str_('comprar'), np.str_('pena'), np.str_('bem'), np.str_('valer'), np.str_('quando')}",LogisticRegression
500,0.8444444444444443,"{np.str_('comprar'), np.str_('bem'), np.str_('apresentar'), np.str_('valer'), np.str_('pena')}",MultinomialNB
1000,0.8444444444444441,"{np.str_('comprar'), np.str_('bem'), np.str_('apresentar'), np.str_('valer'), np.str_('pena')}",MultinomialNB
2000,0.8222222222222221,"{np.str_('comprar'), np.str_('pena'), np.str_('apresentar'), np.str_('valer'), np.str_('quando')}",MultinomialNB
500,0.8169312169312168,"{np.str_('rua'), np.str_('comprar'), np.str_('apresentar'), np.str_('valer'), np.str_('pena')}",SVM
1000,0.8222222222222221,"{np.str_('comprar'), np.str_('pena'), np.str_('apresentar'), np.str_('valer'), np.str_('quando')}",SVM
2000,0.9333333333333331,"{np.str_('rua'), np.str_('comprar'), np.str_('apresentar'), np.str_('valer'), np.str_('pena')}",SVM
500,0.4259259259259258,"{np.str_('alguém'), np.str_('comprar'), np.str_('apresentar'), np.str_('valer'), np.str_('pena')}",KNN
1000,0.48756613756613737,"{np.str_('comprar'), np.str_('bem'), np.str_('pedir'), np.str_('pena'), np.str_('remédio')}",KNN
2000,0.7111111111111111,"{np.str_('comprar'), np.str_('bem'), np.str_('apresentar'), np.str_('pedir'), np.str_('pena')}",KNN
500,0.9333333333333333,"{np.str_('alguém'), np.str_('comprar'), np.str_('bem'), np.str_('valer'), np.str_('pena')}",RandomForest
1000,1.0,"{np.str_('alguém'), np.str_('comprar'), np.str_('bem'), np.str_('valer'), np.str_('pena')}",RandomForest
2000,1.0,"{np.str_('alguém'), np.str_('comprar'), np.str_('bem'), np.str_('valer'), np.str_('pena')}",RandomForest
500,0.5947089947089947,"{np.str_('alguém'), np.str_('comprar'), np.str_('valer'), np.str_('pedir'), np.str_('pena')}",GradientBoosting
1000,0.6095238095238094,"{np.str_('comprar'), np.str_('bem'), np.str_('valer'), np.str_('pedir'), np.str_('pena')}",GradientBoosting
2000,0.7037037037037038,"{np.str_('comprar'), np.str_('pena'), np.str_('valer'), np.str_('pedir'), np.str_('quando')}",GradientBoosting
500,1.0,"{np.str_('comprar'), np.str_('pena'), np.str_('valer'), np.str_('pedir'), np.str_('quando')}",MLP
1000,1.0,"{np.str_('comprar'), np.str_('pena'), np.str_('valer'), np.str_('pedir'), np.str_('quando')}",MLP
2000,1.0,"{np.str_('comprar'), np.str_('pena'), np.str_('valer'), np.str_('pedir'), np.str_('quando')}",MLP
