model,word,dominant_class,avg_weight,avg_abs_weight,n_occurrences
GradientBoosting,00,real,-0.07367166535578193,0.07367166535578193,1
GradientBoosting,00h,real,-0.09268765412169563,0.09268765412169563,1
GradientBoosting,03,fake,0.01661676198993564,0.01661676198993564,1
GradientBoosting,07,real,-0.0005204548397574255,0.0005204548397574255,1
GradientBoosting,08,real,-0.007741224740552659,0.007741224740552659,3
GradientBoosting,09,real,-0.0024231662878297115,0.0024231662878297115,1
GradientBoosting,1,fake,0.19759629573759266,0.1975962957375927,5
GradientBoosting,10,fake,0.06767324855262248,0.06767324855262248,1
GradientBoosting,10,real,-0.005845790069154743,0.005845790069154743,1
GradientBoosting,11,real,-0.0018696830115291325,0.0018696830115291325,1
GradientBoosting,15,real,-0.002651705471306133,0.002651705471306133,2
GradientBoosting,17,real,-0.08672920900926667,0.08672920900926667,2
GradientBoosting,18,real,-0.01309912409289907,0.01309912409289907,1
GradientBoosting,1813,real,-0.01188473734325231,0.01188473734325231,1
GradientBoosting,2,fake,0.047693882317459725,0.047693882317459725,2
GradientBoosting,20,real,-0.03637286291198178,0.03637286291198178,2
GradientBoosting,2000,real,-0.013868009742587803,0.013868009742587803,1
GradientBoosting,2015,real,0.0,0.0,1
GradientBoosting,2018,fake,0.041902978182554784,0.041902978182554784,2
GradientBoosting,2018,real,-0.023325329347878634,0.023325329347878634,1
GradientBoosting,21,real,-0.0010975522452450238,0.0010975522452450238,1
GradientBoosting,219,fake,0.0024690472699216842,0.0024690472699216842,1
GradientBoosting,22,real,-0.04690952509125849,0.04690952509125849,1
GradientBoosting,22h,real,-0.004218307674754232,0.004218307674754232,1
GradientBoosting,23,real,-0.010463056135952564,0.010463056135952564,1
GradientBoosting,27,fake,0.07410282904625261,0.07410282904625261,1
GradientBoosting,3,real,-0.00018895687782950486,0.00018895687782950486,1
GradientBoosting,30,real,-0.15083912533381652,0.15083912533381652,1
GradientBoosting,42,fake,0.00018724746229199102,0.00018724746229199102,1
GradientBoosting,49,real,-0.06829467309659532,0.06829467309659532,2
GradientBoosting,5,fake,4.970899545428424e-32,4.970899545428424e-32,1
GradientBoosting,5,real,-0.0029419362420274073,0.0029419362420274073,2
GradientBoosting,58,fake,0.0012142298255329023,0.0012142298255329023,1
GradientBoosting,58,real,-0.037009711091536814,0.037009711091536814,2
GradientBoosting,6,fake,2.677095816189816e-32,2.677095816189816e-32,1
GradientBoosting,60,fake,0.0006609235407116703,0.0006609235407116703,1
GradientBoosting,7,fake,5.681194460078526e-06,5.681194460078526e-06,1
GradientBoosting,7,real,-0.0017760106648957426,0.0017760106648957426,1
